FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
-3.594528,16.78997,0.453715,30.144009,2.655178,786.243225
-3.641973,17.074776,0.455483,30.203478,2.646125,786.625183
-3.682194,17.360189,0.456976,30.262716,2.632323,787.007813
-3.715515,17.646231,0.458194,30.32169,2.613862,787.390564
-3.742282,17.932957,0.459132,30.380363,2.590844,787.773071
-3.762845,18.22043,0.45978,30.438704,2.563393,788.155029
-3.777543,18.50868,0.460123,30.496672,2.531662,788.535889
-3.786676,18.797707,0.460144,30.554213,2.495825,788.915283
-3.790498,19.087461,0.459823,30.611259,2.456058,789.292725
-3.789212,19.377882,0.459144,30.667744,2.412531,789.667664
-3.782999,19.668917,0.458098,30.723585,2.365396,790.039673
-3.772036,19.960535,0.456685,30.778715,2.314793,790.408447
-3.756518,20.25276,0.454912,30.83308,2.260859,790.773315
-3.736665,20.545645,0.452788,30.886627,2.203742,791.133911
-3.712707,20.839264,0.450317,30.939329,2.143612,791.489868
-3.684861,21.133665,0.447492,30.991175,2.080666,791.840698
-3.653302,21.42886,0.444296,31.042156,2.015124,792.186096
-3.618149,21.724817,0.440704,31.092258,1.947215,792.525513
-3.579468,22.021481,0.436688,31.141466,1.877167,792.858459
-3.5373,22.318781,0.432229,31.189749,1.805196,793.184692
-3.491684,22.616697,0.427317,31.237099,1.731509,793.503601
-3.442688,22.915237,0.421951,31.283482,1.656311,793.814819
-3.390409,23.214466,0.416136,31.328865,1.579819,794.118042
-3.334962,23.514471,0.409879,31.373234,1.502277,794.412842
-3.276452,23.815329,0.403188,31.416563,1.423954,794.698914
-3.214947,24.117081,0.396067,31.458843,1.345141,794.975952
-3.150458,24.419716,0.38851,31.500072,1.266142,795.243469
-3.082945,24.723192,0.380496,31.540249,1.187255,795.501282
-3.012336,25.027456,0.372002,31.579374,1.108773,795.749023
-2.938562,25.332476,0.363009,31.617474,1.030987,795.986267
-2.861579,25.638268,0.353516,31.654552,0.954188,796.212769
-2.781377,25.944889,0.343529,31.690617,0.878687,796.428223
-2.697966,26.25243,0.333064,31.725651,0.804816,796.632568
-2.611359,26.560966,0.32214,31.759653,0.732934,796.8255
